time,prices,market_cap,total_volumes
2020-11-12,4.45,4142055650.2154307,150334795.18311763
2020-11-13,4.39,4082668445.386233,116847228.49038725
2020-11-14,4.54,4230663243.511702,114376307.5174001
2020-11-15,4.47,4162232116.8495955,105545036.03024603
2020-11-16,4.37,4077484365.323717,101700104.16889997
2020-11-17,4.49,4179039016.9363775,134948395.12151504
2020-11-18,4.83,4503849621.370429,262107641.97021005
2020-11-19,4.69,4363793226.847716,231442094.2624644
2020-11-20,4.75,4437744294.637405,254597411.67709658
2020-11-21,5.23,4882026485.544076,453367042.8198105
2020-11-22,5.76,5380273377.455998,434969224.6240124
2020-11-23,5.49,5170209964.717677,402300034.3749447
2020-11-24,5.9,5467632721.652316,459048675.4013789
2020-11-25,5.71,5349446030.631042,495215338.30771893
2020-11-26,5.3,4944330443.97678,338334053.3515652
2020-11-27,4.8,4481218213.2427435,590290526.5461713
2020-11-28,4.79,4472460027.798345,348738180.8792862
2020-11-29,4.89,4574371937.667865,165147373.40301624
2020-11-30,5.19,4847631627.853293,180449728.82591808
2020-12-01,5.35,5021807204.881335,281162258.87326753
2020-12-02,5.1,4783025652.238981,283997579.19488394
2020-12-03,5.48,5133075936.979941,221443721.34281644
2020-12-04,5.41,5064584908.140408,180056113.46700332
2020-12-05,5.05,4723585460.440241,187447411.29744184
2020-12-06,5.19,4859029118.679096,163925878.93170908
2020-12-07,5.13,4812002430.024476,124802254.50752078
2020-12-08,5.06,4750708655.5933,122459164.11119731
2020-12-09,4.74,4473125093.332668,177229440.09950307
2020-12-10,4.86,4580216020.823783,188894951.16754755
2020-12-11,4.8,4520011663.465658,124920916.15278496
2020-12-12,4.63,4350296965.757761,151211192.49292222
2020-12-13,4.74,4455620171.257192,124398004.61164066
2020-12-14,4.89,4593849679.408428,149377920.07492235
2020-12-15,4.9,4612926971.9815445,127483634.08531529
2020-12-16,5.26,4983814223.593981,226657411.00945666
2020-12-17,5.36,5051770600.2730875,280617074.90846276
2020-12-18,5.35,5043374200.259078,388878613.38309264
2020-12-19,5.36,5047179446.47409,238147666.04239407
2020-12-20,5.34,5043012871.235929,221959265.0973418
2020-12-21,5.18,4884986668.975207,235826101.90278256
2020-12-22,4.89,4642851803.926471,328011704.8498074
2020-12-23,5.15,4875242737.61714,332723854.8795314
2020-12-24,4.74,4489530313.422168,322787689.4904395
2020-12-25,5.14,4859778621.300656,298616200.23050565
2020-12-26,5.21,4939071509.721283,215984215.3337366
2020-12-27,5.21,4920780281.244822,389881571.49156916
2020-12-28,5.17,4917775037.589005,599564761.8727797
2020-12-29,6.61,6274967873.493339,1001838592.4843612
2020-12-30,7.57,7217589339.709585,1623438090.7900755
2020-12-31,7.28,6890483558.510944,1162860045.9212942
2021-01-01,9.36,8790589451.482008,1926142318.8993368
2021-01-02,8.31,7876734640.506003,1589686202.433354
2021-01-03,9.22,8778072861.213175,1884370500.0352182
2021-01-04,10.28,9839572847.117577,2026241252.0596154
2021-01-05,9.26,8767297086.336569,1788452339.2778962
2021-01-06,9.74,9268615029.823357,1101026826.544137
2021-01-07,10.1,9667925163.928446,1383529724.4738817
2021-01-08,9.65,9154780364.803495,1357811528.895877
2021-01-09,9.31,8872846060.524126,1132451712.0402448
2021-01-10,9.78,9332171957.95746,753225124.2942744
2021-01-11,9.33,8899676317.009953,837525001.2664026
2021-01-12,8.29,7889136044.384198,1814162155.3060699
2021-01-13,8.26,7874265559.834409,845668469.3126857
2021-01-14,11.02,10463214371.418743,2072789652.8729303
2021-01-15,14.39,13710583025.260971,3706157857.0315957
2021-01-16,13.2,12518186422.369808,4067988418.441339
2021-01-17,18.28,17454759345.0311,7335372449.691468
2021-01-18,16.94,16170957365.959196,4336834538.540487
2021-01-19,16.42,15611727621.338995,2342725151.713157
2021-01-20,16.5,15867491203.42768,2101304751.9949412
2021-01-21,17.97,17124488269.973804,3098835544.8857055
2021-01-22,16.0,15578426592.67866,3129318087.8445983
2021-01-23,17.15,16466661831.919771,2765854645.4363594
2021-01-24,18.6,17702992560.13173,2215949804.9533052
2021-01-25,18.0,17273184189.924995,1518953639.2466738
2021-01-26,17.26,16515904649.551546,1654796100.7896485
2021-01-27,17.11,16415459288.594057,1296758574.747851
2021-01-28,15.46,14798283723.454659,1336945930.4510188
2021-01-29,16.95,16254766558.700006,1520805815.1531267
2021-01-30,16.81,16183669590.285444,1861571320.5965343
2021-01-31,16.44,15755706707.425257,943930650.0265751
2021-02-01,16.14,15447495133.606997,1145966595.3844478
2021-02-02,16.33,15718566326.160374,957499231.0275391
2021-02-03,17.25,16703247515.16536,1360952730.1383374
2021-02-04,20.81,19971174479.345352,2517074593.027832
2021-02-05,19.69,19067536675.01821,2327103649.7824135
2021-02-06,20.92,20065986931.370617,1742093250.4734116
2021-02-07,20.4,19582739051.288105,1354116192.8114617
2021-02-08,19.69,18891743103.597805,1496709054.2225707
2021-02-09,23.1,22114659632.659473,2773507986.714624
