time,prices,market_cap,total_volumes
2020-07-08,0.75,12435090.742149869,1711217.8737984726
2020-07-09,0.8,13138366.724263769,2258517.8140890417
2020-07-10,0.85,14045120.422821058,2615952.924425641
2020-07-11,0.91,15112460.37027957,1871221.381625289
2020-07-12,0.92,15255277.05816987,1733700.4838324187
2020-07-13,1.02,16696748.621766666,4779890.404796757
2020-07-14,1.18,20428062.235112287,4064986.8593240106
2020-07-15,1.15,19972946.844421286,2236363.0616940595
2020-07-16,1.29,24362181.926540546,3361791.9274219424
2020-07-17,0.87,17274473.46197496,9296866.059843082
2020-07-18,0.98,20917439.75564856,11550958.719088707
2020-07-19,0.97,20602905.143447436,2951092.759333697
2020-07-20,0.92,19624140.864785753,2231346.892892173
2020-07-21,0.87,18811046.939017244,3041235.988885012
2020-07-22,0.98,20859692.480081826,4296502.831840978
2020-07-23,1.04,23288212.437627885,5381567.012406718
2020-07-24,1.06,23621340.96676559,3051275.6707602446
2020-07-25,1.0,22240716.375305213,2030487.6493153644
2020-07-26,1.25,27986367.374513853,9847485.817662286
2020-07-27,1.6,35745817.7886529,9916449.44921899
2020-07-28,1.78,41165009.82828771,34618880.39774075
2020-07-29,1.78,41629008.982130036,9748575.381711468
2020-07-30,1.66,40210662.87394944,11129957.57810826
2020-07-31,1.69,41117076.71814283,5611511.032735667
2020-08-01,1.54,37711209.168728195,5087571.122031662
2020-08-02,1.53,37591996.350815535,4748192.135285872
2020-08-03,1.75,42382004.442631856,6698349.656645603
2020-08-04,1.8,43879557.43250306,5778334.689310662
