time1,prices,market_cap,total_volumes
2021-01-29,42.39,6283476043.155616,602130391.232156
2021-01-30,42.74,6337205523.632562,731044472.4984183
2021-01-31,44.62,6604362183.837016,612389944.9645923
2021-02-01,44.25,6522941333.935256,571098971.0226346
2021-02-02,51.47,7583767269.190991,1473065904.0210793
2021-02-03,50.91,7569477058.56905,1178306794.5116994
2021-02-04,52.32,7735129472.072181,805552172.8087535
2021-02-05,55.77,8333210382.439513,1102875237.6999419
2021-02-06,68.34,10106500512.436033,1692097697.7534337
2021-02-07,72.63,10648242256.756302,2640506902.149394
2021-02-08,68.25,10133846849.962713,1818565577.6450298
2021-02-09,79.5,11666342815.764996,2628386625.789472
2021-02-10,107.74,16042189486.944416,5431056857.981953
2021-02-11,129.13,19029543691.117306,8622001934.647383
2021-02-12,123.81,18248020592.96308,3324064891.1252646
2021-02-13,136.48,20066593314.135468,3522463018.7130527
2021-02-14,133.32,19799743676.327938,2457588084.8798904
2021-02-15,136.61,20235468424.048496,2534232231.1893573
2021-02-16,129.38,19096962299.56091,2296763147.4066253
2021-02-17,129.78,19173445845.066593,1815199476.0838852
2021-02-18,163.62,24144663679.111786,5591312738.079581
2021-02-19,194.53,28719828748.346386,8204647326.594336
2021-02-20,338.07,52232341792.26047,22103516567.70705
2021-02-21,257.39,39186024468.50675,13497538091.829664
2021-02-22,295.6,45745975207.855705,11521772897.110415
2021-02-23,268.39,41355468790.23462,10950701746.009872
2021-02-24,228.72,35160048230.5213,10898388397.780983
2021-02-25,255.48,39273073153.542694,10134020070.093115
2021-02-26,235.37,36653635808.81574,6059743759.475165
2021-02-27,221.91,34347801258.49284,6123362549.344084
2021-02-28,226.73,34863282195.0899,4001793419.0135508
2021-03-01,209.78,32747054923.74233,4576664599.820663
2021-03-02,256.18,39775549289.62083,6899473970.603624
2021-03-03,240.93,37318077555.560394,4755698486.399357
2021-03-04,241.76,37511795342.74582,3989584025.1825523
2021-03-05,230.27,35579395371.44576,3781405735.5510983
2021-03-06,226.94,34764818409.196365,3454103781.3491554
2021-03-07,226.66,35132140627.2429,2598241543.295976
2021-03-08,240.06,36937041399.52951,3162878615.7866096
2021-03-09,240.62,37175687161.84234,2849019958.220402
2021-03-10,294.72,45349664034.30795,7151267268.285297
2021-03-11,278.4,43134755617.83653,5812829337.948141
2021-03-12,288.47,44525761191.37331,6352558452.7063
2021-03-13,264.08,40908235661.641716,5561218339.339748
2021-03-14,277.1,42898756292.75063,4184775401.814253
2021-03-15,265.97,41037415793.37244,2855350574.9163504
2021-03-16,253.5,39434323550.85248,3598800728.5660353
2021-03-17,259.05,39929253304.221054,3576550131.748034
2021-03-18,270.92,41811497472.197235,3265030827.437526
2021-03-19,262.65,40603807044.01744,3575952239.2222
2021-03-20,263.58,40708892326.84678,2533102777.7445188
2021-03-21,265.27,41004900988.47188,2649156697.6590276
2021-03-22,265.05,40931038994.92851,1151065647.843939
2021-03-23,256.95,39834881552.667854,3032859503.594607
2021-03-24,255.28,39376090108.768486,2813775574.1344523
2021-03-25,248.35,38516791584.363754,3180619598.785246
2021-03-26,234.24,36192768189.38144,3180524320.328139
2021-03-27,254.7,39235816415.848915,2575952177.716034
2021-03-28,269.4,41937086118.26921,3020922155.4859643
2021-03-29,268.68,41484697966.03745,3199011140.306709
2021-03-30,274.96,42478850221.41467,2755690876.723518
2021-03-31,309.41,47742356655.602066,4420529271.282305
2021-04-01,302.75,46841566978.953735,4729218327.57605
2021-04-02,335.83,52021709574.684296,4712826090.978723
2021-04-03,336.95,52098346307.81932,5101756341.085761
2021-04-04,320.54,49920147538.04927,3728232295.6971846
2021-04-05,349.05,53890347090.85982,3051189764.3514285
2021-04-06,367.46,56849486727.353165,4196270409.388373
2021-04-07,404.46,62712349429.43108,6375820134.793064
2021-04-08,377.01,58558889933.084465,7619517549.798651
2021-04-09,418.14,64636587595.50615,5991138735.199007
2021-04-10,451.21,69006619223.09024,5947228476.547801
2021-04-11,471.84,72863380910.31287,7892324625.270909
2021-04-12,522.9,80304972015.62056,6929265661.660218
2021-04-13,598.55,92356058016.54314,16807622340.893429
2021-04-14,553.12,85352626250.56746,6503314558.299444
2021-04-15,541.56,83633350017.25006,7668480752.21945
2021-04-16,543.0,83889063375.7033,5168188713.510612
2021-04-17,510.82,79138319032.72491,7767607467.081216
2021-04-18,516.79,80146564558.26534,6111930356.074312
2021-04-19,480.42,74374361399.96808,6790452848.375536
2021-04-20,503.65,78419210502.81401,8755730468.082388
2021-04-21,580.46,89885987227.80591,10147802771.886824
2021-04-22,550.89,85489582707.6955,9391918685.628746
2021-04-23,513.62,79217558867.58391,9896634545.450838
2021-04-24,527.78,81068966581.40443,11177606704.159044
2021-04-25,499.32,77665030993.17024,4991522596.359383
2021-04-26,506.05,78223823141.42642,4198996731.129913
2021-04-27,533.58,82089500489.02422,5295872672.712616
2021-04-28,568.97,87911812452.29901,4398525003.733665
2021-04-29,562.58,86547288167.53143,4808744050.916693
2021-04-30,599.88,92491549499.68553,8239013550.86044
2021-05-01,624.58,96328564775.2831,7224919616.980516
2021-05-02,619.03,95807714763.2703,5343009038.165392
2021-05-03,622.59,96157809794.48637,4766464032.459792
2021-05-04,675.1,103965094029.8506,6575775049.089207
2021-05-05,608.63,94640468017.1736,7324619316.396851
2021-05-06,651.83,100850357948.66006,5349087812.5937
2021-05-07,635.54,98151197197.41908,5775171467.713766
2021-05-08,625.09,96652603380.9141,4590421650.503598
2021-05-09,645.06,99362109225.36565,4816848613.341271
2021-05-10,661.89,102284543003.64534,5216360584.046523
2021-05-11,634.59,98190931850.41058,6201737490.209549
2021-05-12,672.64,103537013034.41353,5966857158.70286
2021-05-13,602.44,94580104074.73462,5510123316.514754
2021-05-14,569.75,87410286002.94731,3750429562.6200943
2021-05-15,602.91,93111282325.00421,4033761226.8427687
2021-05-16,563.51,87136325690.68137,4542873645.857639
2021-05-17,563.88,87138236383.10445,4900067856.480875
2021-05-18,513.88,79677505768.43378,5743719776.894899
2021-05-19,510.08,78540136205.18047,3909605067.2186456
2021-05-20,347.45,53692155787.031265,10259751518.669456
2021-05-21,390.41,60332411437.02028,7099930189.172725
2021-05-22,322.29,49571622639.55306,6909718073.525422
2021-05-23,301.27,46672829740.58369,4283705164.2144713
2021-05-24,261.26,40105004419.42738,4782475318.354452
2021-05-25,343.52,52912859480.87061,8284875340.299084
2021-05-26,342.96,52939482766.35376,6260895244.653375
2021-05-27,378.07,58140464824.59376,6989052888.121206
2021-05-28,367.29,56812189325.49153,6241842478.556876
2021-05-29,330.47,51069299261.86949,5712344599.171066
2021-05-30,305.85,47615841361.244446,4498400345.0652275
2021-05-31,325.57,50312143376.99665,4709152915.355526
2021-06-01,353.08,54552491112.92581,5388131344.604982
2021-06-02,361.67,55789519975.40357,5219256634.640035
2021-06-03,402.61,62216853673.38303,7211249339.156458
2021-06-04,428.93,66203469970.6911,5648032962.147617
2021-06-05,392.28,60689527765.42707,7120226608.464222
2021-06-06,388.33,59846984889.27947,6059655293.984396
2021-06-07,392.03,60595496609.36863,3240284906.4596896
2021-06-08,356.26,55568008128.47511,4201944881.6243253
2021-06-09,353.76,54677889296.85125,5693339245.577852
2021-06-10,376.19,58321133322.78771,4575803882.958323
2021-06-11,352.39,54791987617.99424,2560252759.4685807
2021-06-12,346.08,53238117722.61412,2396764203.443381
2021-06-13,345.05,53465798044.075775,2255909259.60942
2021-06-14,365.25,56433712415.26453,2179322818.6380343
2021-06-15,371.0,57233917454.64228,2315715122.63957
2021-06-16,369.02,57077376078.24857,1840165427.4525166
2021-06-17,346.44,53441971881.88039,1712882448.6310894
2021-06-18,353.21,54283380385.86557,1476059646.4892137
2021-06-19,337.63,52262937024.64517,1733550135.99151
2021-06-20,335.07,51823405992.95456,1215531869.4137082
2021-06-21,340.23,52532867592.99311,1735848239.2986724
2021-06-22,274.27,42900169324.99198,3167364633.1990423
2021-06-23,261.43,40307776792.15118,4239651345.534667
2021-06-24,296.13,45761403437.01146,2979006480.628633
2021-06-25,308.79,47853190843.28099,2214812922.8296785
2021-06-26,284.08,44009190871.738106,2246825827.258797
2021-06-27,277.4,42798282321.78064,1809860258.3532932
2021-06-28,289.22,44615925834.05021,1403604950.2124388
2021-06-29,291.03,44886803415.530174,1659011933.41546
2021-06-30,300.92,46872790459.90127,1889939149.811485
2021-07-01,303.74,46954864788.72594,1790095432.8689446
2021-07-02,289.19,44649305234.25196,1331378980.8209975
2021-07-03,288.17,44372602649.994255,1025692279.2176274
2021-07-04,298.42,46132901612.52061,995509864.1693326
2021-07-05,308.26,47786813767.72331,1239182756.2344325
2021-07-06,304.02,47061155248.5336,1342883414.6428928
2021-07-07,320.37,49507487066.40898,1844919548.445925
2021-07-08,328.29,50772663395.84581,1783548169.2798407
2021-07-09,311.53,48131735208.82834,1619108527.8013227
2021-07-10,318.31,49188528580.239426,1165805306.6851475
2021-07-11,317.67,49113706032.49423,944409662.6501232
2021-07-12,322.22,49795281333.2416,905890795.0300148
2021-07-13,317.76,49001034088.52431,1315081652.3896668
2021-07-14,308.86,47747229553.78467,1018690262.727143
2021-07-15,309.43,47745276433.426186,1405296813.5783188
2021-07-16,314.64,48825663947.81495,2047778368.487867
2021-07-17,302.39,46692034724.77278,1501110588.1294348
2021-07-18,300.92,46537871655.906,1129480208.9157066
2021-07-19,304.27,46928323583.64445,976999132.9298645
2021-07-20,282.24,43760548275.471375,1139685728.6143262
2021-07-21,266.4,41138851777.04929,1614468141.8604863
2021-07-22,293.84,45239141513.15342,1744179795.3191714
2021-07-23,293.8,45356934262.17084,1324837574.9620743
2021-07-24,297.64,45972042411.20604,1619528255.7784448
2021-07-25,301.47,46583469226.00497,1507391380.4043567
2021-07-26,305.47,47183893750.72237,1241688365.9732955
2021-07-27,302.96,47090950811.835976,2462514230.174129
2021-07-28,313.5,48212394058.5421,1687336696.4424896
2021-07-29,313.71,48440837958.95631,1446736619.9462934
2021-07-30,317.12,49354872792.007515,1155821715.1486435
2021-07-31,322.74,49890385871.61259,1393575305.0981066
2021-08-01,334.99,51852888023.74996,1506775910.705664
2021-08-02,332.37,51248696205.63272,1645961385.243413
2021-08-03,331.45,51220580709.04743,1216112763.1431472
2021-08-04,323.1,50072708742.12465,1140522219.2311575
2021-08-05,334.98,51783149635.80224,1127855648.6059818
